sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
insertion,nearly,1100,3,604449,210,663,ok
merge,nearly,1100,3,5767,11152,23,ok
insertion,nearly,1100,4,604446,213,663,ok
merge,nearly,1100,4,5769,11152,23,ok
insertion,nearly,1100,5,604444,201,665,ok
merge,nearly,1100,5,5760,11152,23,ok
insertion,nearly,1100,6,604449,216,666,ok
merge,nearly,1100,6,5771,11152,22,ok
insertion,nearly,1100,7,604444,189,662,ok
merge,nearly,1100,7,5763,11152,23,ok
insertion,nearly,1100,8,604449,210,665,ok
merge,nearly,1100,8,5761,11152,22,ok
insertion,nearly,1100,9,604448,207,675,ok
merge,nearly,1100,9,5765,11152,23,ok
insertion,random,1600,0,634618,4782,699,ok
merge,random,1600,0,15052,17152,90,ok
insertion,random,1600,1,648355,4767,711,ok
merge,random,1600,1,15061,17152,86,ok
insertion,random,1600,2,648213,4767,712,ok
merge,random,1600,2,15049,17152,88,ok
insertion,random,1600,3,646331,4776,713,ok
merge,random,1600,3,14994,17152,87,ok
insertion,random,1600,4,634774,4779,803,ok
merge,random,1600,4,15052,17152,89,ok
insertion,random,1600,5,642424,4782,859,ok
merge,random,1600,5,15084,17152,121,ok
insertion,random,1600,6,656682,4779,953,ok
merge,random,1600,6,15055,17152,118,ok
insertion,random,1600,7,657684,4779,952,ok
merge,random,1600,7,15066,17152,117,ok
insertion,random,1600,8,646001,4779,933,ok
merge,random,1600,8,15002,17152,113,ok
insertion,random,1600,9,643596,4782,880,ok
merge,random,1600,9,15060,17152,102,ok
insertion,sorted,1600,0,1279200,0,1650,ok
merge,sorted,1600,0,8896,17152,35,ok
insertion,sorted,1600,1,1279200,0,1460,ok
merge,sorted,1600,1,8896,17152,33,ok
insertion,sorted,1600,2,1279200,0,1468,ok
merge,sorted,1600,2,8896,17152,34,ok
insertion,sorted,1600,3,1279200,0,1402,ok
merge,sorted,1600,3,8896,17152,32,ok
insertion,sorted,1600,4,1279200,0,1409,ok
merge,sorted,1600,4,8896,17152,32,ok
insertion,sorted,1600,5,1279200,0,1384,ok
merge,sorted,1600,5,8896,17152,51,ok
insertion,sorted,1600,6,1279200,0,1539,ok
merge,sorted,1600,6,8896,17152,36,ok
insertion,sorted,1600,7,1279200,0,1512,ok
merge,sorted,1600,7,8896,17152,34,ok
insertion,sorted,1600,8,1279200,0,1487,ok
merge,sorted,1600,8,8896,17152,33,ok
insertion,sorted,1600,9,1279200,0,1528,ok
merge,sorted,1600,9,8896,17152,37,ok
insertion,reverse,1600,0,1599,4797,4,ok
merge,reverse,1600,0,8256,17152,37,ok
insertion,reverse,1600,1,1599,4797,4,ok
merge,reverse,1600,1,8256,17152,34,ok
insertion,reverse,1600,2,1599,4797,5,ok
merge,reverse,1600,2,8256,17152,34,ok
insertion,reverse,1600,3,1599,4797,5,ok
merge,reverse,1600,3,8256,17152,34,ok
insertion,reverse,1600,4,1599,4797,4,ok
merge,reverse,1600,4,8256,17152,34,ok
insertion,reverse,1600,5,1599,4797,4,ok
merge,reverse,1600,5,8256,17152,35,ok
insertion,reverse,1600,6,1599,4797,4,ok
merge,reverse,1600,6,8256,17152,34,ok
insertion,reverse,1600,7,1599,4797,4,ok
merge,reverse,1600,7,8256,17152,34,ok
insertion,reverse,1600,8,1599,4797,4,ok
merge,reverse,1600,8,8256,17152,34,ok
insertion,reverse,1600,9,1599,4797,4,ok
merge,reverse,1600,9,8256,17152,35,ok
insertion,nearly,1600,0,1279196,300,1524,ok
merge,nearly,1600,0,8933,17152,37,ok
insertion,nearly,1600,1,1279195,303,1426,ok
merge,nearly,1600,1,8941,17152,33,ok
insertion,nearly,1600,2,1279195,291,1392,ok
merge,nearly,1600,2,8934,17152,34,ok
insertion,nearly,1600,3,1279196,300,1404,ok
merge,nearly,1600,3,8936,17152,37,ok
insertion,nearly,1600,4,1279198,306,1411,ok
merge,nearly,1600,4,8936,17152,34,ok
insertion,nearly,1600,5,1279194,318,1398,ok
merge,nearly,1600,5,8924,17152,34,ok
insertion,nearly,1600,6,1279194,300,1400,ok
merge,nearly,1600,6,8932,17152,33,ok
insertion,nearly,1600,7,1279199,297,1341,ok
merge,nearly,1600,7,8934,17152,32,ok
insertion,nearly,1600,8,1279198,300,1349,ok
merge,nearly,1600,8,8936,17152,32,ok
insertion,nearly,1600,9,1279198,312,1339,ok
merge,nearly,1600,9,8941,17152,32,ok
insertion,random,2100,0,1100248,6276,1193,ok
merge,random,2100,0,20497,23204,120,ok
insertion,random,2100,1,1128479,6267,1197,ok
merge,random,2100,1,20519,23204,118,ok
insertion,random,2100,2,1098720,6282,1134,ok
merge,random,2100,2,20548,23204,160,ok
insertion,random,2100,3,1100480,6279,1161,ok
merge,random,2100,3,20569,23204,115,ok
insertion,random,2100,4,1102225,6270,1118,ok
merge,random,2100,4,20508,23204,112,ok
insertion,random,2100,5,1099767,6285,1106,ok
merge,random,2100,5,20503,23204,109,ok
